Model_Year,Model,Manufacturer,ManufacturerID,VehicleID,Category,Fuel,FuelID,Transmission_Type,Engine_Description
2012,Fit EV,Honda,209,10357,Sedan/Wagon,Electric,41,3 mode / 1 speed,
2012,Focus EV,Ford,219,10303,Sedan/Wagon,Electric,41,,
2012,Ford Azure Transit Connect,Ford,219,10304,Van,Electric,41,,
2012,Fusion Hybrid,Ford,219,10313,Sedan/Wagon,Hybrid Electric,45,ECVT,
2012,GS 450h,Lexus,243,10364,Sedan/Wagon,Hybrid Electric,45,ECVT,
2012,HS 250h,Lexus,243,10363,Sedan/Wagon,Hybrid Electric,45,ECVT,
2012,Highlander Hybrid,Toyota,221,10384,SUV,Hybrid Electric,45,ECVT,
2012,Insight,Honda,209,10354,Sedan/Wagon,Hybrid Electric,45,CVT,
2012,Karma,Fisker Automotive,367,10660,Sedan/Wagon,Plug-in Hybrid Electric,57,Auto,
2012,LS 600h L,Lexus,243,10366,Sedan/Wagon,Hybrid Electric,45,ECVT / 8 speed,
2012,LaCrosse Hybrid,Buick,235,10317,Sedan/Wagon,Hybrid Electric,45,Automatic / 6 speed,
2012,Leaf,Nissan,217,10375,Sedan/Wagon,Electric,41,Automatic / 1 speed,
2012,LiFe,"Wheego Electric Cars, Inc.",241,10389,Sedan/Wagon,Electric,41,,
2012,M35h Hybrid,Infiniti,359,10360,Sedan/Wagon,Hybrid Electric,45,Automatic / 7 speed,
2012,MKZ Hybrid,Lincoln,227,10315,Sedan/Wagon,Hybrid Electric,45,ECVT,
2012,Mitusbishi i,Mitsubishi,263,10371,Sedan/Wagon,Electric,41,,
2012,Model S,Tesla,237,10378,Sedan/Wagon,Electric,41,Auto,
2012,Optima Hybrid,Kia,361,10361,Sedan/Wagon,Hybrid Electric,45,Automatic / 6 speed,
2012,Panamera S Hybrid,Porsche,391,10377,Sedan/Wagon,Hybrid Electric,45,Automatic / 8 speed,
2012,Prius Hybrid,Toyota,221,10381,Sedan/Wagon,Hybrid Electric,45,ECVT,
2012,Prius Plug-in Hybrid,Toyota,221,10385,Sedan/Wagon,Plug-in Hybrid Electric,57,ECVT,
2012,Prius V,Toyota,221,10382,SUV,Hybrid Electric,45,ECVT,
2012,RAV4 EV,Toyota,221,10386,SUV,Electric,41,,
2012,RX 450h,Lexus,243,10365,SUV,Hybrid Electric,45,ECVT,
2012,Regal Hybrid,Buick,235,10319,Sedan/Wagon,Hybrid Electric,45,Automatic / 6 speed,
2012,S400 Hybrid,Mercedes-Benz,239,10369,Sedan/Wagon,Hybrid Electric,45,Automatic / 7 speed,
2012,Sierra 1500 Hybrid,GMC,213,10350,Pickup,Hybrid Electric,45,Automatic / 4 speed,
2012,Silverado 1500 Hybrid,Chevrolet,215,10349,Pickup,Hybrid Electric,45,Automatic / 4 speed,
2012,Sonata Hybrid,Hyundai,351,10359,Sedan/Wagon,Hybrid Electric,45,Automatic / 6 speed,
2012,Tahoe 1500 Hybrid,Chevrolet,215,10334,SUV,Hybrid Electric,45,Automatic / 4 speed,
2012,Touareg Hybrid,Volkswagen,347,10388,SUV,Hybrid Electric,45,Automatic / 8 speed,
2012,Volt,Chevrolet,215,10351,Sedan/Wagon,Plug-in Hybrid Electric,57,Automatic / 1 speed,
2012,Yukon 1500 Hybrid,GMC,213,10335,SUV,Hybrid Electric,45,Automatic / 4 speed,
2013,500e,Fiat,379,10491,Sedan/Wagon,Electric,41,Auto,
2013,ActiveHybrid 3,BMW,211,10471,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,ActiveHybrid 5,BMW,211,10472,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,ActiveHybrid 7,BMW,211,10473,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,Avalon,Toyota,221,10550,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,C-MAX,Ford,219,10495,Sedan/Wagon,Hybrid Electric,45,ECVT,
2013,C-MAX ENERGI,Ford,219,10493,Sedan/Wagon,Plug-in Hybrid Electric,57,ECVT,
2013,CODA,Coda Automotive,363,10474,Sedan/Wagon,Electric,41,,
2013,CRZ,Honda,209,10522,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,CT 200h,Lexus,243,10529,Sedan/Wagon,Hybrid Electric,45,ECVT,
2013,Camry,Toyota,221,10551,Sedan/Wagon,Hybrid Electric,45,ECVT,
